Id,SalePrice
1461,"138,848.528266"
1462,"154,788.732529"
1463,"162,918.508053"
1464,"163,528.53179"
1465,"207,958.906889"
1466,"147,595.94202"
1467,"184,577.88229"
1468,"166,077.747941"
1469,"153,676.852584"
1470,"100,901.611149"
1471,"184,027.10557"
1472,"137,347.817421"
1473,"115,729.406476"
1474,"170,327.26109"
1475,"142,818.525434"
1476,"284,424.573183"
1477,"251,057.654619"
1478,"215,412.423015"
1479,"278,931.796551"
1480,"388,000.7267"
1481,"299,090.68346"
1482,"203,440.308571"
1483,"168,202.027678"
1484,"185,100.659728"
1485,"172,434.031963"
1486,"199,037.849903"
1487,"265,786.260366"
1488,"280,752.062798"
1489,"198,356.956244"
1490,"164,048.597217"
1491,"149,233.25181"
1492,"112,196.698785"
1493,"193,039.730191"
1494,"280,294.656754"
1495,"288,716.763258"
1496,"205,642.849207"
1497,"179,366.156459"
1498,"174,594.089389"
1499,"153,767.615557"
1500,"145,667.433739"
1501,"156,344.19024"
1502,"152,389.258146"
1503,"253,959.923983"
1504,"233,365.84866"
1505,"182,912.752032"
1506,"203,959.465027"
1507,"255,746.126175"
1508,"186,461.433768"
1509,"139,468.818903"
1510,"128,651.216626"
1511,"141,272.068024"
1512,"152,667.880058"
1513,"167,480.528355"
1514,"169,691.39874"
1515,"203,636.527061"
1516,"170,611.947775"
1517,"164,229.497313"
1518,"160,531.267524"
1519,"218,972.846866"
1520,"121,920.257807"
1521,"133,135.303855"
1522,"139,196.172357"
1523,"101,790.182292"
1524,"103,613.361716"
1525,"120,892.710984"
1526,"116,133.227944"
1527,"125,325.486064"
1528,"166,998.043656"
1529,"118,028.387427"
1530,"177,426.323295"
1531,"162,315.621972"
1532,"116,601.288319"
1533,"151,511.251926"
1534,"131,417.110562"
1535,"136,521.831155"
1536,"115,530.006588"
1537,"80,524.623394"
1538,"197,659.477592"
1539,"254,843.860865"
1540,"140,119.493008"
1541,"163,984.820247"
1542,"154,215.171933"
1543,"203,821.837902"
1544,"94,336.748123"
1545,"137,391.775846"
1546,"153,920.829296"
1547,"150,492.355227"
1548,"146,603.286266"
1549,"117,260.552943"
1550,"154,982.149601"
1551,"97,504.526377"
1552,"138,345.420361"
1553,"139,405.965805"
1554,"134,574.696422"
1555,"171,530.514956"
1556,"106,913.119555"
1557,"127,168.089151"
1558,"116,111.680865"
1559,"79,330.600798"
1560,"170,867.323875"
1561,"134,661.853313"
1562,"109,948.858619"
1563,"70,068.441331"
1564,"150,262.534618"
1565,"135,616.04917"
1566,"213,152.974844"
1567,"83,823.241293"
1568,"171,374.723315"
1569,"107,768.461108"
1570,"158,936.709166"
1571,"121,496.655047"
1572,"128,600.329161"
1573,"251,691.371202"
1574,"116,895.720363"
1575,"196,600.332856"
1576,"252,676.397562"
1577,"185,781.732202"
1578,"169,623.13652"
1579,"142,798.33436"
1580,"200,318.38119"
1581,"137,945.741415"
1582,"114,377.617836"
1583,"272,980.928421"
1584,"211,978.197098"
1585,"123,496.711254"
1586,"76,552.942395"
1587,"109,481.37939"
1588,"108,316.257596"
1589,"113,065.719604"
1590,"126,298.636198"
1591,"83,960.026503"
1592,"143,030.524254"
1593,"132,217.288017"
1594,"157,071.754336"
1595,"108,910.07632"
1596,"208,879.351616"
1597,"185,559.183359"
1598,"172,309.756279"
1599,"203,100.934625"
1600,"206,330.597401"
1601,"77,815.718949"
1602,"165,415.361524"
1603,"96,155.72542"
1604,"248,222.261667"
1605,"276,007.175446"
1606,"158,885.762095"
1607,"180,583.223701"
1608,"209,581.360221"
1609,"195,355.48985"
1610,"124,444.492161"
1611,"156,664.222479"
1612,"190,125.182271"
1613,"156,894.937158"
1614,"114,726.163447"
1615,"79,317.457974"
1616,"69,953.486323"
1617,"89,888.475835"
1618,"121,795.728803"
1619,"126,682.668924"
1620,"182,028.084993"
1621,"143,595.904112"
1622,"148,910.522461"
1623,"266,453.415155"
1624,"168,330.669403"
1625,"112,977.080047"
1626,"142,364.725471"
1627,"166,143.655777"
1628,"303,577.452898"
1629,"183,813.273907"
1630,"294,173.210859"
1631,"187,390.387058"
1632,"221,071.183681"
1633,"164,277.419448"
1634,"166,606.768966"
1635,"163,873.851299"
1636,"144,812.330604"
1637,"184,457.138181"
1638,"194,562.137127"
1639,"236,311.912537"
1640,"235,392.048955"
1641,"186,268.359423"
1642,"198,531.508446"
1643,"227,519.616485"
1644,"226,864.665747"
1645,"187,520.697713"
1646,"136,921.659112"
1647,"180,061.31053"
1648,"123,213.142157"
1649,"130,029.529333"
1650,"127,107.918262"
1651,"107,845.3511"
1652,"121,615.00752"
1653,"135,861.322284"
1654,"153,136.372566"
1655,"160,952.38924"
1656,"148,300.543427"
1657,"191,084.1465"
1658,"163,258.776069"
1659,"131,886.273623"
1660,"173,044.338822"
1661,"367,604.523897"
1662,"330,833.047628"
1663,"295,051.842928"
1664,"428,244.173527"
1665,"264,566.361904"
1666,"275,078.594685"
1667,"275,419.771671"
1668,"317,362.248898"
1669,"292,372.047901"
1670,"285,837.799311"
1671,"217,333.748937"
1672,"353,855.550289"
1673,"312,626.183033"
1674,"285,799.026489"
1675,"174,979.001284"
1676,"180,641.114712"
1677,"217,806.607485"
1678,"360,098.600388"
1679,"286,186.158657"
1680,"271,683.096886"
1681,"253,942.519426"
1682,"277,542.322874"
1683,"191,141.277552"
1684,"186,303.064227"
1685,"177,338.138223"
1686,"164,561.167359"
1687,"194,901.153445"
1688,"183,863.759041"
1689,"199,261.367321"
1690,"192,898.482084"
1691,"168,366.298079"
1692,"278,677.821159"
1693,"165,934.026241"
1694,"165,397.390723"
1695,"178,922.787309"
1696,"217,182.293534"
1697,"191,087.827086"
1698,"333,822.876215"
1699,"280,797.600746"
1700,"181,981.384754"
1701,"263,099.312782"
1702,"234,697.431326"
1703,"223,219.633102"
1704,"246,470.078826"
1705,"234,522.178769"
1706,"381,675.511599"
1707,"125,792.890787"
1708,"184,390.753508"
1709,"282,973.498106"
1710,"232,287.555933"
1711,"214,556.872845"
1712,"298,611.998558"
1713,"233,501.091599"
1714,"193,033.620715"
1715,"185,961.842537"
1716,"182,568.475604"
1717,"171,713.978052"
1718,"141,985.207796"
1719,"211,421.80264"
1720,"234,354.585409"
1721,"170,817.345381"
1722,"123,857.632279"
1723,"141,863.912344"
1724,"188,128.575683"
1725,"197,768.53919"
1726,"158,855.66175"
1727,"175,660.461187"
1728,"170,264.12487"
1729,"156,686.231494"
1730,"195,473.477244"
1731,"116,817.086935"
1732,"125,242.084265"
1733,"128,829.687834"
1734,"107,828.855515"
1735,"130,675.449967"
1736,"95,673.516393"
1737,"317,320.048809"
1738,"205,775.603652"
1739,"310,919.851065"
1740,"186,544.030905"
